# This file contains the list of genes (nodes) in the gene regulatory network
# of Escherichia coli.
# 
# The original network was built using the information available from
# 
# Keseler IM, Collado-Vides J, Santos-Zavaleta A, Peralta-Gil M, Gama-Castro S,
# Muñiz-Rascado L, et al. EcoCyc: a comprehensive database of Escherichia coli
# biology. Nucleic acids research. 2011;39(Database issue):D583–90.
# doi:10.1093/nar/gkq1143.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
inaA	4	0	Readout_terminal
ilvX	4	0	Readout_terminal
ilvM	4	0	Readout_terminal
ilvL	4	0	Readout_terminal
ilvE	4	0	Readout_terminal
ilvD	4	0	Readout_terminal
ilvA	4	0	Readout_terminal
idnK	4	0	Readout_terminal
ibpB	4	0	Readout_terminal
hydN	4	0	Readout_terminal
hpt	4	0	Readout_terminal
hha	4	0	Readout_terminal
gyrA	4	0	Readout_terminal
gntP	4	0	Readout_terminal
gntK	4	0	Readout_terminal
gnd	4	0	Readout_terminal
gltL	4	0	Readout_terminal
gltK	4	0	Readout_terminal
gltJ	4	0	Readout_terminal
gltI	4	0	Readout_terminal
glpX	4	0	Readout_terminal
glpD	4	0	Readout_terminal
glnP	4	0	Readout_terminal
glnH	4	0	Readout_terminal
gcd	4	0	Readout_terminal
gadY	4	0	Readout_terminal
fumA	4	0	Readout_terminal
folA	4	0	Readout_terminal
fliT	4	0	Readout_terminal
fliS	4	0	Readout_terminal
fliR	4	0	Readout_terminal
fliQ	4	0	Readout_terminal
fliP	4	0	Readout_terminal
fliO	4	0	Readout_terminal
fliN	4	0	Readout_terminal
fliM	4	0	Readout_terminal
fliL	4	0	Readout_terminal
fliD	4	0	Readout_terminal
fliC	4	0	Readout_terminal
